Colourcode,NestID,31U,UTM,NestSuccess,StartKnownActive,EndKnownActive,Comment
B1BBLR,1606901601,664013,5866961,Failed,20-Apr-16,15-May-16,
B1BBLR,1706905605,664280,5866263,Failed,17-Apr-17,3-May-17,
B1BBLR,1806904401,,,Hatched,5-May-18,16-May-18,
B1LYBL,1506901107,663746,5867330,Hatched,20-Apr-15,15-May-15,
B1LYBL,1612807701,663649,5862913,Failed,21-May-16,,Found with predated adult next to it
B1LYBR,1506902601,663610,5866486,Hatched,25-Apr-15,20-May-15,
B1RLLR,1606903102,663919,5866616,Failed,18-May-16,31-May-16,
B1RRBR,1506904405,664076,5866523,Hatched,5-May-15,26-May-15,
B1RRBR,1606904403,664089,5866515,Failed,2-May-16,9-May-16,
B1RRBR,1706901413,663837,5866918,Failed,21-May-17,4-Jun-17,
B1RRBR,1706904401,664074,5866493,Failed,2-May-17,2-May-17,
B1RRBR,1806901404,663756,5866983,Infertile,20-Apr-18,23-May-18,"all eggs infertile, nest incubated"
B1RRBR,1906901403,663770,5866960,Failed,1-May-19,25-May-19,
B1RRBY,1506901503,663922,5866940,Hatched,5-May-15,30-May-15,
B1RRBY,1606901504,663926,5866936,Failed,30-Apr-16,21-May-16,
B1RRBY,1806901505,,,Failed,23-May-18,1-Jun-18,
B1RRYB,1506900502,663463,5866704,Hatched,21-Apr-15,23-May-15,
B1RRYB,1615701605,662786,5867617,Failed,24-May-16,24-May-16,
B1RRYB,1615901703,663352,5866958,Failed,4-May-16,4-May-16,
B1RRYR,1506901002,663696,5867057,Hatched,11-May-15,20-May-15,
B1RRYY,1506901604,664046,5866954,Failed,28-Apr-15,22-May-15,
B1RRYY,1606901509,663962,5866927,Failed,12-May-16,26-May-16,
B4LBLR,1706901401,663695,5866931,Hatched,5-Apr-17,2-May-17,
B5BYLB,1706901502,,,Hatched,15-Apr-17,5-May-17,
B5RBLB,1706901101,663821,5867170,Hatched,6-Apr-17,4-May-17,
B5RBLB,1806901112,663825,5867230,Hatched,4-May-18,26-May-18,
B5RBLB,1809803901,664264,5867722,Failed,11-Apr-18,18-Apr-18,
B5RBLB,1906901110,663824,5867223,Hatched,12-May-19,15-May-19,
B5RBLY,1506903903,663626,5866271,Hatched,20-Apr-15,15-May-15,
B5RBLY,1606902801,663722,5866589,Hatched,19-Apr-16,15-May-16,
B5RYYL,1506903406,663079,5866072,Hatched,1-May-15,24-May-15,
B6RBLB,1506902404,663485,5866327,Hatched,25-Apr-15,22-May-15,
B6RBLL,1506901802,663035,5866161,Hatched,21-Apr-15,16-May-15,
B6RBLR,1506904403,664103,5866430,Hatched,20-Apr-15,16-May-15,
B6RBLR,1606904402,663994,5866354,Failed,30-Apr-16,14-May-16,
B6RBLY,1506901303,663839,5867332,Hatched,2-May-15,28-May-15,
B6RBLY,1609802806,663788,5867877,Failed,17-May-16,24-May-16,
B6RBYB,1506903301,664002,5866994,Hatched,23-Apr-15,13-May-15,
B6RBYB,1616100504,664266,5866957,Failed,23-Apr-16,30-Apr-16,
B6RBYB,1706901411,663744,5866958,Hatched,15-May-17,29-May-17,
B6RBYB,1709802901,,,Failed,21-Apr-17,21-Apr-17,
B6RBYL,1506904601,663784,5866173,Hatched,13-Apr-15,9-May-15,
B6RBYL,1607002106,660258,5861370,Failed,18-May-16,18-May-16,
B6RRLY,1506903303,664147,5866766,Hatched,26-Apr-15,17-May-15,
B6RRLY,1606903206,664044,5866697,Hatched,30-Apr-16,21-May-16,
B6RRLY,1706901602,664019,5867003,Failed,26-Apr-17,3-May-17,
B6RRLY,1706901603,664096,5866941,Failed,15-May-17,22-May-17,
B6RRYL,1506900404,663238,5866801,Hatched,24-Apr-15,15-May-15,
D1DD44,1506902503,663534,5866469,Hatched,16-Apr-15,10-May-15,
D1DD44,1606900502,663347,5866664,Failed,25-Apr-16,28-Apr-16,
D1DD44,1606902504,663520,5866785,Failed,7-May-16,15-May-16,
Y2RRYB,1506903210,663951,5866775,Hatched,29-Apr-15,25-May-15,
Y2RRYB,1606903205,663992,5866734,Hatched,23-Apr-16,15-May-16,
Y2RRYB,1706901505,663901,5866859,Hatched,1-May-17,27-May-17,
Y2RYLY,1506904603,663786,5866186,Hatched,3-May-15,21-May-15,
Y3YBBL,1506903212,664010,5866734,Hatched,17-May-15,23-May-15,
Y3YBBL,1606903204,663942,5866761,Failed,23-Apr-16,30-Apr-16,
Y4BBYR,1506904604,663866,5866185,Hatched,4-May-15,26-May-15,
Y4BBYR,1606905606,664108,5866195,Failed,5-May-16,12-May-16,
Y4BRRR,1506901406,663742,5866979,Failed,20-May-15,26-May-15,
Y5RLYB,1706901504,663924,5866995,Hatched,21-Apr-17,12-May-17,
Y5RRLB,1606905605,664136,5866197,Failed,21-Apr-16,10-May-16,
Y5RRLB,1706905604,664243,5866250,Failed,15-Apr-17,29-Apr-17,
Y5RRLB,1706905609,664016,5866110,Hatched,5-May-17,2-Jun-17,
Y5RRLR,1506901901,663069,5866347,Hatched,30-Apr-15,21-May-15,
Y5RRLR,1606902004,663205,5866226,Failed,27-Apr-16,4-May-16,
