"","Colourcode.x","NestID","nestloc_UTM_W","nestloc_UTM_N","NestSuccess","StartKnownActive","EndKnownActive","Comment","Colourcode.y","Ringnumber","Sex","ID","TagDeployedDate","YearDeployed","burst"
"1","B1BBLR",1606901601,664013,5866961,"Failed","20-Apr-16","15-May-16","","B1BBLR",2504698,"Female",144129,"2016-05-15 00:00:00.000",2016,"144129-2016"
"2","B1LYBL",1506901107,663746,5867330,"Hatched","20-Apr-15","15-May-15","","B1LYBL",2510484,"Female",144430,"2015-05-14 00:00:00.000",2015,"144430-2015"
"3","B1RLLR",1606903102,663919,5866616,"Failed","18-May-16","31-May-16","","B1RLLR",2504682,"Female",151682,"2016-05-31 00:00:00.000",2016,"151682-2016"
"4","B1RRBR",1506904405,664076,5866523,"Hatched","5-May-15","26-May-15","","B1RRBR",2504875,"Female",144443,"2015-05-24 00:00:00.000",2015,"144443-2015"
"5","B1RRBY",1506901503,663922,5866940,"Hatched","5-May-15","30-May-15","","B1RRBY",2510497,"Female",144154,"2015-05-28 00:00:00.000",2015,"144154-2015"
"6","B1RRYB",1506900502,663463,5866704,"Hatched","21-Apr-15","23-May-15","","B1RRYB",2510494,"Female",144439,"2015-05-21 00:00:00.000",2015,"144439-2015"
"7","B1RRYR",1506901002,663696,5867057,"Hatched","11-May-15","20-May-15","","B1RRYR",2510493,"Female",144421,"2015-05-20 00:00:00.000",2015,"144421-2015"
"8","B1RRYY",1506901604,664046,5866954,"Failed","28-Apr-15","22-May-15","","B1RRYY",2510491,"Female",144425,"2015-05-19 00:00:00.000",2015,"144425-2015"
"9","B4LBLR",1706901401,663695,5866931,"Hatched","5-Apr-17","2-May-17","","B4LBLR",2504673,"Female",157535,"2017-05-04 00:00:00.000",2017,"157535-2017"
"10","B5BYLB",1706901502,NA,NA,"Hatched","15-Apr-17","5-May-17","","B5BYLB",2505021,"Male",157553,"2017-05-03 00:00:00.000",2017,"157553-2017"
"11","B5RBLB",1706901101,663821,5867170,"Hatched","6-Apr-17","4-May-17","","B5RBLB",2505015,"Male",157536,"2017-04-30 00:00:00.000",2017,"157536-2017"
"12","B5RBLY",1506903903,663626,5866271,"Hatched","20-Apr-15","15-May-15","","B5RBLY",2505016,"Female",144427,"2015-05-14 00:00:00.000",2015,"144427-2015"
"13","B5RYYL",1506903406,663079,5866072,"Hatched","1-May-15","24-May-15","","B5RYYL",2505018,"Female",144438,"2015-05-22 00:00:00.000",2015,"144438-2015"
"14","B6RBLB",1506902404,663485,5866327,"Hatched","25-Apr-15","22-May-15","","B1LYBR",2510490,"Female",144437,"2015-05-19 00:00:00.000",2015,"144437-2015"
"15","B6RBLB",1506902404,663485,5866327,"Hatched","25-Apr-15","22-May-15","","B6RBLB",2510305,"Female",144419,"2015-05-18 00:00:00.000",2015,"144419-2015"
"16","B6RBLL",1506901802,663035,5866161,"Hatched","21-Apr-15","16-May-15","","B6RBLL",2510485,"Female",144432,"2015-05-15 00:00:00.000",2015,"144432-2015"
"17","B6RBLR",1506904403,664103,5866430,"Hatched","20-Apr-15","16-May-15","","B6RBLR",2510487,"Female",144424,"2015-05-15 00:00:00.000",2015,"144424-2015"
"18","B6RBLY",1506901303,663839,5867332,"Hatched","2-May-15","28-May-15","","B6RBLY",2510307,"Female",144423,"2015-05-18 00:00:00.000",2015,"144423-2015"
"19","B6RBYB",1506903301,664002,5866994,"Hatched","23-Apr-15","13-May-15","","B6RBYB",2510483,"Female",144441,"2015-05-13 00:00:00.000",2015,"144441-2015"
"20","B6RBYL",1506904601,663784,5866173,"Hatched","13-Apr-15","9-May-15","","B6RBYL",2510367,"Female",144426,"2015-05-07 00:00:00.000",2015,"144426-2015"
"21","B6RRLY",1506903303,664147,5866766,"Hatched","26-Apr-15","17-May-15","","B6RRLY",2505038,"Female",144434,"2015-05-16 00:00:00.000",2015,"144434-2015"
"22","B6RRYL",1506900404,663238,5866801,"Hatched","24-Apr-15","15-May-15","","B6RRYL",2505031,"Female",144435,"2015-05-13 00:00:00.000",2015,"144435-2015"
"23","D1DD44",1506902503,663534,5866469,"Hatched","16-Apr-15","10-May-15","","D1DD44",2510310,"Female",144433,"2015-05-09 00:00:00.000",2015,"144433-2015"
"24","Y2RRYB",1506903210,663951,5866775,"Hatched","29-Apr-15","25-May-15","","Y2RRYB",3619047,"Female",144436,"2015-05-23 00:00:00.000",2015,"144436-2015"
"25","Y2RYLY",1506904603,663786,5866186,"Hatched","3-May-15","21-May-15","","Y2RYLY",3654014,"Female",144428,"2015-05-20 00:00:00.000",2015,"144428-2015"
"26","Y3YBBL",1506903212,664010,5866734,"Hatched","17-May-15","23-May-15","","Y3YBBL",1430172,"Female",144429,"2015-05-22 00:00:00.000",2015,"144429-2015"
