tag-id,animal-id,animal-taxon,deploy_on_date,deploy_off_date,animal-life-stage,animal-ring-id,animal-sex,animal-taxon-detail,data-processing-software,deployment-comments,filter_deploy_on_date,filter_deploy_off_date,deployment-id,duty-cycle,manipulation-type,tag-manufacturer-name,tag-mass,tag-model,tag-readout-method,tag-serial-no,known_nest
123423,Bissau,Limosa limosa,00:00.0,10:00.0,adult,L3YLLL,f,Limosa limosa limosa,Douglas Argos Filter,data limited to periods used in analysis: 1/2/13-30/5/13 and 1/2/14-30/5/14,2/1/2013,30/5/2013,Bissau,transmit 10 hr recharge 48 hr,none,Microwave Telemetry Inc,9.5,PTT-100,satellite,123423,0
123434,Amalia,Limosa limosa,00:00.0,,adult,L3YRYL,f,Limosa limosa limosa,Douglas Argos Filter,data limited to periods used in analysis: 1/2/13-30/5/13 and 1/2/14-30/5/14,2/1/2013,30/5/2013,Amalia,transmit 10 hr recharge 48 hr,none,Microwave Telemetry Inc,9.5,PTT-100,satellite,123434,0
123422,Brussel,Limosa limosa,00:00.0,,adult,L3YLYB,f,Limosa limosa limosa,Douglas Argos Filter,data limited to periods used in analysis: 1/2/13-30/5/13 and 1/2/14-30/5/14,2/1/2013,30/5/2013,Brussel,transmit 10 hr recharge 48 hr,none,Microwave Telemetry Inc,9.5,PTT-100,satellite,123422,0
123424,Lisboa,Limosa limosa,00:00.0,52:00.0,adult,L3YLRY,f,Limosa limosa limosa,Douglas Argos Filter,data limited to periods used in analysis: 1/2/13-30/5/13 and 1/2/14-30/5/14,2/1/2013,30/5/2013,Lisboa,transmit 10 hr recharge 48 hr,none,Microwave Telemetry Inc,9.5,PTT-100,satellite,123424,0
123435,Madrid,Limosa limosa,00:00.0,13:00.0,adult,L3YLRL,f,Limosa limosa limosa,Douglas Argos Filter,data limited to periods used in analysis: 1/2/13-30/5/13 and 1/2/14-30/5/14,2/1/2013,30/5/2013,Madrid,transmit 10 hr recharge 48 hr,none,Microwave Telemetry Inc,9.5,PTT-100,satellite,123435,0
123432,Nouakchott,Limosa limosa,00:00.0,,adult,L3YLLY,f,Limosa limosa limosa,Douglas Argos Filter,data limited to periods used in analysis: 1/2/13-30/5/13 and 1/2/14-30/5/14,2/1/2013,30/5/2013,Nouakchott,transmit 10 hr recharge 48 hr,none,Microwave Telemetry Inc,9.5,PTT-100,satellite,123432,0
123429,Paris,Limosa limosa,00:00.0,,adult,L3YLYR,f,Limosa limosa limosa,Douglas Argos Filter,data limited to periods used in analysis: 1/2/13-30/5/13 and 1/2/14-30/5/14,2/1/2013,30/5/2013,Paris,transmit 10 hr recharge 48 hr,none,Microwave Telemetry Inc,9.5,PTT-100,satellite,123429,0
123426,Badajoz,Limosa limosa,00:00.0,,adult,L3YLBY,f,Limosa limosa limosa,Douglas Argos Filter,data limited to periods used in analysis: 1/2/13-30/5/13 and 1/2/14-30/5/14,2/1/2013,30/5/2013,Badajoz,transmit 10 hr recharge 48 hr,none,Microwave Telemetry Inc,9.5,PTT-100,satellite,123426,0
123428,Amsterdam,Limosa limosa,00:00.0,01:00.0,adult,L3YRYY,f,Limosa limosa limosa,Douglas Argos Filter,data limited to periods used in analysis: 1/2/13-30/5/13 and 1/2/14-30/5/14,2/1/2013,30/5/2013,Amsterdam,transmit 10 hr recharge 48 hr,none,Microwave Telemetry Inc,9.5,PTT-100,satellite,123428,0
123430,Nantes,Limosa limosa,00:00.0,,adult,L3YLBR,f,Limosa limosa limosa,Douglas Argos Filter,data limited to periods used in analysis: 1/2/13-30/5/13 and 1/2/14-30/5/14,2/1/2013,30/5/2013,Nantes,transmit 10 hr recharge 48 hr,none,Microwave Telemetry Inc,9.5,PTT-100,satellite,123430,0
123427,Rotterdam,Limosa limosa,00:00.0,,adult,L3YLLR,f,Limosa limosa limosa,Douglas Argos Filter,data limited to periods used in analysis: 1/2/13-30/5/13 and 1/2/14-30/5/14,2/1/2013,30/5/2013,Rotterdam,transmit 10 hr recharge 48 hr,none,Microwave Telemetry Inc,9.5,PTT-100,satellite,123427,0
123431,Dakar,Limosa limosa,00:00.0,,adult,L3YLLB,f,Limosa limosa limosa,Douglas Argos Filter,data limited to periods used in analysis: 1/2/13-30/5/13 and 1/2/14-30/5/14,2/1/2013,30/5/2013,Dakar,transmit 10 hr recharge 48 hr,none,Microwave Telemetry Inc,9.5,PTT-100,satellite,123431,0
123421,Rabat,Limosa limosa,00:00.0,13:59.0,adult,L3YRYR,f,Limosa limosa limosa,Douglas Argos Filter,data limited to periods used in analysis: 1/2/13-30/5/13 and 1/2/14-30/5/14,2/1/2013,30/5/2013,Rabat,transmit 10 hr recharge 48 hr,none,Microwave Telemetry Inc,9.5,PTT-100,satellite,123421,0
