ColourCode,FldYear,FldDate,LocationID,MeadowID,Behaviour
B3BLLL,2013,6/7/2013,69,69013,chick guiding
B3BLLL,2013,6/10/2013,69,69013,chick guiding
B3BLLL,2013,6/9/2013,69,69011,chick guiding
B3BLLL,2013,6/11/2013,69,69015,chick guiding
B3BLLL,2013,6/12/2013,69,69011,chick guiding
B3BLLL,2013,6/12/2013,159,159008,foraging
B3BLLL,2013,6/16/2013,159,159018,chick guiding
B3BLLL,2013,6/14/2013,159,159008,foraging
B3BLLL,2013,6/21/2013,69,69012,foraging
B3BLLL,2013,6/30/2013,570,570022,foraging
B3BLLL,2013,6/30/2013,484,,foraging
B3BLLL,2013,7/1/2013,24,24059,
B3BLYB,2013,6/7/2013,69,69008,chick guiding
B3BLYB,2013,6/9/2013,69,69010,chick guiding
B3BLYB,2013,6/13/2013,69,69003,chick guiding
B3BLYB,2013,6/14/2013,69,69010,chick guiding
B3BLYB,2013,6/16/2013,69,69032,
B3BLYB,2013,6/11/2013,159,159018,alarming
B3BLYB,2013,6/22/2013,69,69005,chick guiding
B3BLYB,2013,12/15/2013,475,,"resting, sleeping"
B3BLYL,2013,6/6/2013,69,69003,chick guiding
B3BLYL,2013,6/12/2013,69,69004,
B3BLYL,2013,6/14/2013,69,69006,chick guiding
B3BLYL,2013,6/18/2013,69,69032,chick guiding
B3BLYL,2013,6/19/2013,69,69028,foraging
B3BLYL,2013,6/22/2013,69,69044,chick guiding
B3BLYL,2013,6/16/2013,159,159018,chick guiding
B3BLYR,2013,6/13/2013,565,565012,foraging
B3BLYR,2013,6/23/2013,569,569049,foraging
B3BLYR,2013,6/5/2013,114,114035,foraging
B3BLYR,2013,6/17/2013,144,144037,foraging
B3BLYR,2013,6/22/2013,569,569049,foraging
B3BLYR,2013,6/23/2013,569,569037,foraging
B3BLYR,2013,6/8/2013,24,24054,foraging
B3BLYR,2013,6/25/2013,931,,dead
B3RBLR,2013,5/18/2013,69,,dead
B3RLLL,2013,6/7/2013,69,69014,chick guiding
B3RLLL,2013,6/12/2013,69,69005,chick guiding
B3RLLL,2013,6/12/2013,69,69006,chick guiding
B3RLLL,2013,6/11/2013,159,159008,alarming
B3RLLL,2013,6/19/2013,158,158015,foraging
B3RLLL,2013,6/21/2013,69,69012,foraging
B3RLLL,2013,6/28/2013,69,69012,foraging
B3RLLL,2013,10/18/2013,296,,
B4LBYL,2013,6/7/2013,69,69016,chick guiding
B4LBYL,2013,6/10/2013,69,69016,chick guiding
B4LBYL,2013,6/12/2013,69,69016,chick guiding
B4LBYL,2013,6/14/2013,69,69010,chick guiding
B4LBYL,2013,6/16/2013,69,69007,chick guiding
B4LBYL,2013,6/18/2013,69,69016,chick guiding
B4LBYL,2013,6/22/2013,69,69016,chick guiding
B4LBYL,2013,6/21/2013,69,69012,foraging
B4LBYL,2013,6/27/2013,172,172017,foraging
Y2BRYB,2013,6/7/2013,69,69032,chick guiding
Y2BRYB,2013,6/10/2013,69,69032,chick guiding
Y2BRYB,2013,6/11/2013,69,69032,chick guiding
Y2BRYB,2013,6/12/2013,69,69033,chick guiding
Y2BRYB,2013,6/14/2013,69,69032,chick guiding
Y2BRYB,2013,6/26/2013,24,24050,foraging
